id,profile_id,session_id,strategy_json,market_analysis,property_recommendations,financial_projections,generation_time,data_sources_used,status,document_url,created_at,completed_at
1,17,b5ae2841-6703-4819-aa9b-8e1ac5560246,{},{},[],{},0,[],generating,,2025-08-07T03:54:46.464Z,
2,18,378e8cf4-8339-479e-ab52-c1db4c8e0140,{},{},[],{},0,[],failed,,2025-08-07T04:38:04.907Z,2025-08-07T04:39:20.838Z
3,19,cdfca2cc-3835-4ca9-a81a-501bbb931667,{},{},[],{},0,[],failed,,2025-08-07T04:58:42.215Z,2025-08-07T04:58:45.558Z
4,20,04dac865-ea51-4e16-a379-792a2fa93c6c,{},{},[],{},0,[],failed,,2025-08-08T01:24:11.935Z,2025-08-08T01:24:14.643Z
5,21,17aa4e6a-f125-4407-a42b-504af26984f4,{},{},[],{},0,[],failed,,2025-08-08T01:27:25.907Z,2025-08-08T01:27:41.253Z
6,22,6592f275-3f01-4a82-aa28-dc1de953a59b,{},{},[],{},0,[],failed,,2025-08-08T02:18:50.680Z,2025-08-08T02:18:53.441Z
7,23,da16592d-08f2-4323-965a-3f349c5afd84,{},{},[],{},0,[],failed,,2025-08-08T02:38:22.775Z,2025-08-08T02:38:25.953Z
8,24,e76738b0-9fa6-47c9-a1ab-8348687e09b3,{},{},[],{},0,[],failed,,2025-08-08T02:43:19.877Z,2025-08-08T02:43:22.772Z
9,25,1c3b7d9b-f902-4ce1-b7e1-abd7a9950d9d,"{""executiveSummary"":""Based on analysis of the market and available properties..."",""purchasingPower"":{""availableCapital"":150000,""maxPurchasePrice"":600000,""downPaymentPercent"":25,""monthlyBudget"":900},""marketAnalysis"":{""location"":""{\""Quincy\"",\""Braintree\"",\""Boston\""}"",""marketConditions"":""Extracted from response"",""opportunities"":[""Opportunity 1"",""Opportunity 2""],""risks"":[""Risk 1"",""Risk 2""],""emergingTrends"":[""Trend 1"",""Trend 2""]},""propertyRecommendations"":[],""financialProjections"":{""totalInvestment"":150000,""expectedMonthlyIncome"":10000,""expectedMonthlyExpenses"":6000,""netMonthlyCashFlow"":4000,""averageCapRate"":7.5,""fiveYearProjection"":{}},""nextSteps"":[""Review recommended properties"",""Schedule viewings for top picks"",""Get pre-approval for financing""],""additionalInsights"":[""Market insight discovered during analysis""]}","{""location"":""{\""Quincy\"",\""Braintree\"",\""Boston\""}"",""marketConditions"":""Extracted from response"",""opportunities"":[""Opportunity 1"",""Opportunity 2""],""risks"":[""Risk 1"",""Risk 2""],""emergingTrends"":[""Trend 1"",""Trend 2""]}",[],"{""totalInvestment"":150000,""expectedMonthlyIncome"":10000,""expectedMonthlyExpenses"":6000,""netMonthlyCashFlow"":4000,""averageCapRate"":7.5,""fiveYearProjection"":{}}",4240,"[""repliers"",""tavily_mcp"",""openai"",""knowledge_base""]",complete,/strategies/1c3b7d9b-f902-4ce1-b7e1-abd7a9950d9d.md,2025-08-08T02:49:15.613Z,2025-08-08T02:49:19.880Z
10,26,67eb86e0-a932-4e2a-b3af-058821ab53ac,{},{},[],{},0,[],failed,,2025-08-08T02:54:26.559Z,2025-08-08T02:54:42.571Z
