id,address,price,bedrooms,bathrooms,square_feet,property_type,city,state,zip_code,description,features,images,listing_date,status,mls_number,lot_size,year_built,garage_spaces,created_at
ACT5786940,2004 COURTNEY ST,1495,2,2.0,924,house,Austin,TX,78745,"Available now, this 2-bedroom, 2-bathroom duplex in South Austin's 78745 zip code is ready for immediate move-in! New photos will be available soon. The dining area, living room, hallway, and both bedrooms feature plush carpeting. Ceiling fans are installed in all bedrooms and the vaulted ceiling living room. The spacious master bedroom includes a walk-in closet, and bedroom #1 features a bi-fold door closet.  The garage is equipped with washer/dryer connections. Enjoy the cozy fireplace and the large, private backyard, accessible from the front of the property. Single car garage parking and one spot available on the driveway.

Enjoy close proximity to popular spots like Armadillo Den, Austin Java, Moontower Saloon, Lustre Pearl South, South Austin Beer Garden, and Little Darlin, with walking access to Sprouts, CVS, and Summer Moon.","[""Air Conditioning""]",[],,New,ACT5786940,,1984,,now()
ACT9612861,1132 Eleanor ST,190000,0,0.0,,house,Austin,TX,78721,OPEN TO OFFERS! Sought after East Austin location less than 5 miles to the heart of Downtown Austin. This beautiful lot backs up to a serene creek bed/green belt. The lot also has a gorgeous 100+ year old mesquite tree at the front of the property. Would be an amazing investment for single family or multi family development.,[],"[""https://cdn.repliers.io/mlsgrid/IMG-ACT9612861_0.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT9612861_1.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT9612861_2.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT9612861_3.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT9612861_4.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT9612861_5.jpg?class=medium""]",,New,ACT9612861,,,,now()
ACT1669181,3305 Clawson RD,2195,3,2.0,1300,house,Austin,TX,78704,"Available JULY/AUGUST 2025! This 3 bed - 2 bath unit is located near South Congress, North Lamar, Zilker Park, Barton Springs. A short drive to Downtown Austin or the shopping centers of Sun Valley. This is your opportunity to be close to the action at a great price! Large open shared yard with large trees! Your own patio to relax. Pets OK! Washer/Dryer in unit! Tenant responsible for utilities/exterior maintenance/pest control. Let's book a tour today!","[""Air Conditioning""]","[""https://cdn.repliers.io/mlsgrid/IMG-ACT1669181_0.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT1669181_1.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT1669181_2.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT1669181_3.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT1669181_4.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT1669181_5.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT1669181_6.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT1669181_7.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT1669181_8.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT1669181_9.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT1669181_10.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT1669181_11.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT1669181_12.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT1669181_13.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT1669181_14.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT1669181_15.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT1669181_16.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT1669181_17.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT1669181_18.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT1669181_19.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT1669181_20.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT1669181_21.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT1669181_22.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT1669181_23.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT1669181_24.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT1669181_25.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT1669181_26.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT1669181_27.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT1669181_28.jpg?class=medium""]",,New,ACT1669181,,1970,,now()
ACT8637580,2011 Kirksey DR,2495,3,3.0,1310,house,Austin,TX,78741,"Available for August 2025!  This 3 Bed - 2 Bath unit is located 5 min to Downtown, the new Boardwalk on Riverside, HEB and 15 min to University of Texas. Walking distance to Bus Shuttle.  Bedrooms are large for a queen/full bed. Double vanities in both bathrooms. Large walk-in closets. Large kitchen, wood/tile flooring, Washer and Dryer included. Huge enclosed back yard. Very nice and quiet area. Pets are welcomed! Tenant responsible for utilities/pest control/ground maintenance. Let's schedule a tour today!","[""Air Conditioning""]","[""https://cdn.repliers.io/mlsgrid/IMG-ACT8637580_0.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT8637580_1.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT8637580_2.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT8637580_3.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT8637580_4.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT8637580_5.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT8637580_6.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT8637580_7.jpg?class=medium""]",,New,ACT8637580,,1984,,now()
ACT3211594,6824 Quinton DR,2400,3,3.0,2068,house,Austin,TX,78747,"Fully furnished home available in south east Austin with great eats and nature just 5 minutes down the road. 5 minutes from Mckinny falls state park become a member and visit regularly. new food truck park with great food and coffee and even market days. please drive out and explore! 3/ 2 with a flex living space upstairs, large backyard in a quiet established community.  Updated, spacious and easy to move in! please contact agent for any question, private showings or feedback.","[""Air Conditioning""]",[],,New,ACT3211594,,2006,,now()
ACT7429472,1809 Burbank ST,3295,3,2.0,1489,house,Austin,TX,78757,"Welcome to this beautifully updated 1,489 sq ft home, perfectly situated in the heart of North Central Austin. With 3 spacious bedrooms and 2 modern bathrooms, this home offers comfort and style throughout. The home features rich, wooden flooring in common areas, creating a warm, inviting atmosphere in every room. Cozy up by the gas fireplace in the living area, ideal for relaxing on cooler evenings.

The updated kitchen is a true highlight, with sleek finishes and plenty of space for preparing meals or entertaining guests. A convenient mudroom provides added organization and storage. The primary bathroom features a luxurious walk-in shower, making it your personal retreat.

Step outside to enjoy the expansive backyard, shaded by mature trees, offering a peaceful escape for outdoor living and entertaining.

Located just minutes from the Domain, the F2 soccer stadium, the Arboretum, and a variety of dining, shopping, and coffee options, this home puts you right in the middle of it all. Whether you’re seeking entertainment, nature, or a quiet spot to relax, it’s all just around the corner. Don't miss your chance to call this beautifully updated home your own!","[""Air Conditioning""]","[""https://cdn.repliers.io/mlsgrid/IMG-ACT7429472_0.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT7429472_1.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT7429472_2.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT7429472_3.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT7429472_4.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT7429472_5.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT7429472_6.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT7429472_7.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT7429472_8.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT7429472_9.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT7429472_10.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT7429472_11.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT7429472_12.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT7429472_13.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT7429472_14.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT7429472_15.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT7429472_16.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT7429472_17.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT7429472_18.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT7429472_19.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT7429472_20.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT7429472_21.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT7429472_22.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT7429472_23.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT7429472_24.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT7429472_25.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT7429472_26.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT7429472_27.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT7429472_28.jpg?class=medium""]",,New,ACT7429472,,1963,,now()
ACT8991141,4406 Bennett Ave,3295,3,2.0,1410,house,Austin,TX,78751,"Available JULY/AUGUST 2025! 3 Bedroom - 2 Bath unit with wood/tile floors throughout unit. Cozy fireplace, large open kitchen, large washer/dryer. Unit is shaded by trees in a quaint neighborhood. HEB is located just 3 minutes down the street and easy access to I-35! Perfect located for those who want to be near Central Austin. Pets OK! Tenants responsible for utilities/grounds care/pest control. Let's book a tour today!","[""Air Conditioning""]","[""https://cdn.repliers.io/mlsgrid/IMG-ACT8991141_0.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT8991141_1.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT8991141_2.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT8991141_3.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT8991141_4.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT8991141_5.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT8991141_6.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT8991141_7.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT8991141_8.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT8991141_9.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT8991141_10.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT8991141_11.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT8991141_12.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT8991141_13.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT8991141_14.jpg?class=medium""]",,New,ACT8991141,,1947,,now()
ACT8305007,5904 Silver Luna WAY,15000,5,6.0,5120,house,Austin,TX,78738,"Welcome to your dream home located in the gated community of Madrone Canyon. This stunning two-story residence spans 5,120 square feet and offers an exceptional living experience with 5 bedrooms, 5 full baths, and 1 half bath. The open floor layout seamlessly connects the living, dining, and gourmet kitchen areas, creating an inviting space perfect for both relaxation and entertaining. The living room is a true showstopper, featuring 20-foot beamed ceilings, a stone fireplace, abundant natural light, and substantial glass sliding doors that open to the expansive backyard. The gourmet kitchen is a chef's delight and is designed to be the heart of the home, boasting a large center island with quartzite countertops, custom wood cabinetry, and top-of-the-line Wolf Sub-Zero appliances. The primary suite, located on the main floor, offers direct access to the backyard through elegant glass sliding doors. The luxurious primary bathroom features a dual vanity, a standalone soaking tub, a walk-in glass shower, and a spacious walk-in closet with ample built-in shelving. The main floor also includes two guest rooms with en-suite bathrooms (including one with a private entrance). Additionally, there is a media room on the main level with access to the backyard, providing a perfect space for entertainment. The second level of the home offers two bedrooms, each with en-suite bathrooms, a lounge area, and a balcony that allows for Owners to take in the Hill Country views. The beautifully landscaped backyard is an entertainer's paradise, featuring a pool/spa combo and an outdoor kitchen, perfect for hosting family and friends. The property also includes a 3-car garage with an EV charger. Situated in the highly regarded Lake Travis ISD, Madrone Canyon is just a 5-minute drive from Hill Country Galleria, offering the perfect blend of tranquility and convenience. This home truly embodies luxury living in a serene setting.","[""Air Conditioning""]",[],,New,ACT8305007,,2023,,now()
ACT7272275,1410 Harvey ST,2695,3,2.0,1216,house,Austin,TX,78702,"Available for August 2025! Spacious 3 Bedroom - 2 full Bathroom unit with a utility room, eat-in kitchen, washer/dryer available in unit. Pets OK! Located near MLK Metro Rail Station, Mueller Lake Park, minutes from University of Texas and Downtown Austin. This is a must see unit! Tenants responsible for utilities/pest control/grounds maintenance. Let's schedule a tour today!!","[""Air Conditioning""]","[""https://cdn.repliers.io/mlsgrid/IMG-ACT7272275_0.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT7272275_1.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT7272275_2.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT7272275_3.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT7272275_4.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT7272275_5.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT7272275_6.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT7272275_7.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT7272275_8.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT7272275_9.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT7272275_10.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT7272275_11.jpg?class=medium""]",,New,ACT7272275,,2003,,now()
ACT4256800,6709 Ranchito DR,2550,4,3.0,2190,house,Austin,TX,78744,"This single-family home features 4 bedrooms and 2.5 bathrooms, offering the spacious Patriot plan with 2,190 square feet of living space and plenty of natural light. The large backyard is perfect for outdoor activities. The master bedroom is conveniently located on the first floor, while the second living room upstairs is ideal for a TV nook or game room. The open kitchen boasts abundant granite countertop space and excellent cabinet storage. The community borders McKinney Falls Park Preserve on three sides. Refrigerator and blinds are included.","[""Air Conditioning""]","[""https://cdn.repliers.io/mlsgrid/IMG-ACT4256800_0.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT4256800_1.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT4256800_2.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT4256800_3.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT4256800_4.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT4256800_5.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT4256800_6.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT4256800_7.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT4256800_8.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT4256800_9.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT4256800_10.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT4256800_11.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT4256800_12.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT4256800_13.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT4256800_14.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT4256800_15.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT4256800_16.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT4256800_17.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT4256800_18.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT4256800_19.jpg?class=medium"",""https://cdn.repliers.io/mlsgrid/IMG-ACT4256800_20.jpg?class=medium""]",,New,ACT4256800,,2019,,now()
